"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
-4,173,7,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,174,12,8,1,2,7,185,-4,5,0,2,2,1,5,5,3,33000,-4,0,0,1276,16,19
5,175,9,5,3,2,7,140,-4,5,6,3,2,4,5,1,0,-1,-4,0,0,1460,-3,16
-4,176,12,5,3,2,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,177,12,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,178,14,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,179,12,5,3,2,4,135,-4,5,1,2,2,1,2,1,1,5000,-4,0,0,1680,10,8
2,180,16,5,3,2,7,173,-4,5,3,2,2,1,1,1,1,90000,-4,0,0,1834,0,7
5,181,12,1,3,1,-5,300,-4,5,8,2,1,1,2,3,0,60000,-4,0,0,2250,1,12
4,182,-2,1,3,1,-5,165,-4,5,10,1,1,1,1,1,0,0,-4,0,0,0,0,0
4,183,12,5,3,2,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,184,12,5,3,2,7,135,-4,5,5,1,1,3,2,2,0,19000,-4,0,0,910,2,18
3,185,12,1,3,1,7,180,-4,6,0,1,1,4,5,5,1,78000,-4,0,0,2050,0,11
2,186,12,5,3,2,2,169,-4,5,4,1,1,3,5,5,0,162000,-4,1,0,3500,0,14
-4,187,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,188,12,5,3,2,-5,150,-4,5,5,1,1,3,4,5,0,18000,-4,0,0,1909,0,12
1,189,12,1,3,1,4,175,-4,6,3,2,1,4,1,2,0,130000,-4,0,0,2080,0,10
4,190,17,5,3,2,4,165,-4,5,3,5,2,1,1,2,0,187000,-4,0,0,2600,0,11
1,191,17,1,3,1,4,180,-4,5,8,3,2,1,2,2,0,332954,-4,0,0,2565,0,14
1,192,12,5,3,2,2,125,-4,5,2,2,1,3,1,1,0,72000,-4,0,0,2000,0,10
1,193,12,1,3,1,2,195,-4,5,10,2,2,1,5,5,1,114991,-4,0,0,560,38,7
-4,194,12,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,195,16,1,3,1,4,205,-4,6,0,2,2,4,2,2,0,332954,-4,0,1,2160,0,13
3,196,16,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,197,12,5,3,2,4,138,-4,5,2,1,1,4,2,2,2,16500,-4,1,1,2080,0,26
1,198,17,1,3,1,2,-5,-4,5,10,2,2,4,5,5,0,-1,-4,0,0,2600,0,6
3,199,12,1,3,1,4,180,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,200,12,5,3,2,4,110,-4,5,2,2,1,3,1,1,0,46000,-4,0,1,1750,0,9
5,201,20,1,3,1,4,190,-4,5,9,2,1,1,1,1,1,5000,-4,0,0,1045,0,7
1,202,16,1,3,1,-5,265,-4,6,1,2,1,1,1,1,1,0,-4,1,0,5965,0,43
-4,203,-2,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,204,16,8,1,2,-5,141,-4,5,2,1,1,4,1,1,0,4900,-4,1,0,1280,0,4
3,205,12,8,1,2,3,220,-4,5,2,2,2,1,3,1,0,-1,-4,-1,-1,1400,0,5
1,206,12,1,3,1,-5,-5,-4,5,7,1,2,3,5,5,0,56000,-4,0,0,2080,0,6
-4,207,10,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,208,-2,6,3,2,4,-5,-4,5,5,5,5,1,4,4,1,0,-4,0,0,0,0,2
-4,209,-3,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,210,12,1,3,1,4,185,-4,5,10,1,1,1,3,3,0,75000,-4,0,0,2330,0,15
5,211,12,5,3,2,4,115,-4,5,3,-4,2,3,3,4,9,12000,-4,0,0,1508,0,10
